Дата,Количество
2017-01-01,1
2017-01-02,126
2017-01-03,60
2017-01-04,100
2017-01-05,92
2017-01-06,96
2017-01-07,107
2017-01-08,234
2017-01-09,135
2017-01-10,229
2017-01-11,155
2017-01-12,213
2017-01-13,180
2017-01-14,114
2017-01-15,166
2017-01-16,201
2017-01-17,415
2017-01-18,420
2017-01-19,230
2017-01-20,276
2017-01-21,336
2017-01-22,268
2017-01-23,150
2017-01-24,900
2017-01-25,644
2017-01-26,452
2017-01-27,191
2017-01-28,158
2017-01-29,182
2017-01-30,1151
2017-01-31,785
2017-02-01,680
2017-02-02,278
2017-02-03,211
2017-02-04,200
2017-02-05,197
2017-02-06,335
2017-02-07,354
2017-02-08,392
2017-02-09,328
2017-02-10,160
2017-02-11,355
2017-02-12,244
2017-02-13,365
2017-02-14,663
2017-02-15,724
2017-02-16,431
2017-02-17,172
2017-02-18,200
2017-02-19,248
2017-02-20,304
2017-02-21,236
2017-02-22,295
2017-02-23,470
2017-02-24,357
2017-02-25,322
2017-02-26,257
2017-02-27,318
2017-02-28,824
2017-03-01,272
2017-03-02,162
2017-03-03,248
2017-03-04,261
2017-03-05,270
2017-03-06,246
2017-03-07,240
2017-03-08,164
2017-03-09,343
2017-03-10,209
2017-03-11,133
2017-03-12,166
2017-03-13,223
2017-03-14,262
2017-03-15,691
2017-03-16,483
2017-03-17,326
2017-03-18,208
2017-03-19,336
2017-03-20,222
2017-03-21,603
2017-03-22,837
2017-03-23,768
2017-03-24,327
2017-03-25,95
2017-03-26,160
2017-03-27,210
2017-03-28,248
2017-03-29,229
2017-03-30,155
2017-03-31,164
2017-04-01,147
2017-04-02,239
2017-04-03,264
2017-04-04,288
2017-04-05,237
2017-04-06,171
2017-04-07,207
2017-04-08,127
2017-04-09,150
2017-04-10,342
2017-04-11,1554
2017-04-12,990
2017-04-13,593
2017-04-14,213
2017-04-15,150
2017-04-16,191
2017-04-17,219
2017-04-18,209
2017-04-19,982
2017-04-20,859
2017-04-21,820
2017-04-22,265
2017-04-23,376
2017-04-24,368
2017-04-25,297
2017-04-26,210
2017-04-27,251
2017-04-28,288
2017-04-29,319
2017-04-30,193
2017-05-01,114
2017-05-02,198
2017-05-03,230
2017-05-04,209
2017-05-05,259
2017-05-06,123
2017-05-07,515
2017-05-08,276
2017-05-09,146
2017-05-10,254
2017-05-11,398
2017-05-12,288
2017-05-13,182
2017-05-14,241
2017-05-15,303
2017-05-16,216
2017-05-17,471
2017-05-18,392
2017-05-19,596
2017-05-20,592
2017-05-21,564
2017-05-22,569
2017-05-23,911
2017-05-24,524
2017-05-25,646
2017-05-26,331
2017-05-27,302
2017-05-28,322
2017-05-29,213
2017-05-30,269
2017-05-31,286
2017-06-01,213
2017-06-02,250
2017-06-03,252
2017-06-04,163
2017-06-05,244
2017-06-06,421
2017-06-07,351
2017-06-08,235
2017-06-09,220
2017-06-10,210
2017-06-11,267
2017-06-12,204
2017-06-13,325
2017-06-14,221
2017-06-15,280
2017-06-16,272
2017-06-17,137
2017-06-18,200
2017-06-19,203
2017-06-20,520
2017-06-21,676
2017-06-22,388
2017-06-23,157
2017-06-24,166
2017-06-25,219
2017-06-26,187
2017-06-27,441
2017-06-28,388
2017-06-29,367
2017-06-30,251
2017-07-01,228
2017-07-02,204
2017-07-03,436
2017-07-04,245
2017-07-05,334
2017-07-06,424
2017-07-07,355
2017-07-08,200
2017-07-09,308
2017-07-10,268
2017-07-11,566
