Дата,Выручка
2017-01-01,1546.0
2017-01-02,404120.64
2017-01-03,246219.69
2017-01-04,252444.81
2017-01-05,238185.71
2017-01-06,251538.9
2017-01-07,222834.6
2017-01-08,345659.84
2017-01-09,331978.39
2017-01-10,484775.1
2017-01-11,442234.31
2017-01-12,542406.91
2017-01-13,479932.81
2017-01-14,396855.06
2017-01-15,498140.06
2017-01-16,477387.31
2017-01-17,834155.38
2017-01-18,848486.34
2017-01-19,600579.56
2017-01-20,649126.75
2017-01-21,710366.78
2017-01-22,709880.59
2017-01-23,378357.28
2017-01-24,1626669.05
2017-01-25,1049023.34
2017-01-26,810462.13
2017-01-27,466191.76
2017-01-28,412320.14
2017-01-29,436384.71
2017-01-30,1694488.24
2017-01-31,1393185.91
2017-02-01,1003044.13
2017-02-02,566172.29
2017-02-03,492001.6
2017-02-04,498548.68
2017-02-05,552373.78
2017-02-06,663456.56
2017-02-07,743732.96
2017-02-08,647532.13
2017-02-09,610138.47
2017-02-10,347179.85
2017-02-11,628681.18
2017-02-12,595127.01
2017-02-13,636665.01
2017-02-14,1317089.44
2017-02-15,1166678.09
2017-02-16,814870.75
2017-02-17,473010.98
2017-02-18,378952.9
2017-02-19,591705.9
2017-02-20,554864.09
2017-02-21,575999.77
2017-02-22,702015.3
2017-02-23,706091.95
2017-02-24,626812.85
2017-02-25,636524.89
2017-02-26,681008.37
2017-02-27,718354.25
2017-02-28,882262.68
2017-03-01,642265.68
2017-03-02,598580.87
2017-03-03,631205.82
2017-03-04,545395.77
2017-03-05,566646.96
2017-03-06,614179.71
2017-03-07,478534.41
2017-03-08,287787.73
2017-03-09,515894.43
2017-03-10,407020.33
2017-03-11,319916.25
2017-03-12,358167.87
2017-03-13,484965.65
2017-03-14,516407.91
2017-03-15,1046326.42
2017-03-16,796407.53
2017-03-17,627431.03
2017-03-18,384131.53
2017-03-19,627876.46
2017-03-20,648640.9
2017-03-21,1098768.71
2017-03-22,1295484.1
2017-03-23,1134401.42
2017-03-24,524432.2
2017-03-25,349658.18
2017-03-26,534536.16
2017-03-27,529209.64
2017-03-28,531710.23
2017-03-29,479392.05
2017-03-30,507716.38
2017-03-31,477831.1
2017-04-01,394987.12
2017-04-02,496255.54
2017-04-03,546740.33
2017-04-04,637040.72
2017-04-05,546118.65
2017-04-06,461921.46
2017-04-07,485243.08
2017-04-08,349590.65
2017-04-09,503198.19
2017-04-10,653938.45
2017-04-11,1428015.77
2017-04-12,1349316.25
2017-04-13,890970.79
2017-04-14,461380.91
2017-04-15,340789.12
2017-04-16,337607.96
2017-04-17,498239.24
2017-04-18,583932.06
2017-04-19,1084084.74
2017-04-20,1129617.68
2017-04-21,936835.19
2017-04-22,473773.27
2017-04-23,739887.37
2017-04-24,755995.72
2017-04-25,681223.4400000001
2017-04-26,479108.02
2017-04-27,475919.24
2017-04-28,518522.82
2017-04-29,467328.14
2017-04-30,393009.01
2017-05-01,422403.5
2017-05-02,410032.46
2017-05-03,648943.51
2017-05-04,502225.38
2017-05-05,506348.86
2017-05-06,353776.95
2017-05-07,312122.52
2017-05-08,556696.82
2017-05-09,328201.67
2017-05-10,485346.09
2017-05-11,869071.12
2017-05-12,603626.79
2017-05-13,444468.84
2017-05-14,510661.41
2017-05-15,654732.4
2017-05-16,451194.02
2017-05-17,995952.8
2017-05-18,655637.87
2017-05-19,759933.02
2017-05-20,796530.34
2017-05-21,932385.06
2017-05-22,955302.06
2017-05-23,1471694.95
2017-05-24,957137.08
2017-05-25,1081579.34
2017-05-26,473897.71
2017-05-27,420868.59
2017-05-28,617998.39
2017-05-29,532945.25
2017-05-30,606627.91
2017-05-31,594688.7
2017-06-01,554024.77
2017-06-02,602273.7
2017-06-03,429587.15
2017-06-04,488815.96
2017-06-05,718689.19
2017-06-06,566673.03
2017-06-07,535518.53
2017-06-08,381620.93
2017-06-09,582240.01
2017-06-10,464564.74
2017-06-11,496200.14
2017-06-12,492432.73
2017-06-13,781564.79
2017-06-14,706004.9
2017-06-15,599642.71
2017-06-16,587722.04
2017-06-17,334288.84
2017-06-18,511022.32
2017-06-19,592413.87
2017-06-20,1520001.21
2017-06-21,1466617.96
2017-06-22,799069.13
2017-06-23,566561.93
2017-06-24,468648.8
2017-06-25,568744.75
2017-06-26,489211.4
2017-06-27,923827.01
2017-06-28,1075328.59
2017-06-29,856506.92
2017-06-30,467314.56
2017-07-01,412570.23
2017-07-02,493277.81
2017-07-03,590061.03
2017-07-04,586624.74
2017-07-05,750221.38
2017-07-06,817097.45
2017-07-07,702751.18
2017-07-08,361274.73
2017-07-09,662943.36
2017-07-10,639899.93
2017-07-11,1131251.33
2017-07-12,983365.33
2017-07-13,785567.69
2017-07-14,532267.87
2017-07-15,489381.98
2017-07-16,400649.88
2017-07-17,700086.67
2017-07-18,677354.42
2017-07-19,614736.95
2017-07-20,664160.4
2017-07-21,492919.78
2017-07-22,460669.04
2017-07-23,558151.6
2017-07-24,576422.62
2017-07-25,754264.85
2017-07-26,621323.96
2017-07-27,620400.0
2017-07-28,517270.23
2017-07-29,352856.13
2017-07-30,454566.75
2017-07-31,567994.81
2017-08-01,607137.65
2017-08-02,514324.04
2017-08-03,489267.39
2017-08-04,504254.46
2017-08-05,391882.01
2017-08-06,474015.48
2017-08-07,603880.06
2017-08-08,614987.0
2017-08-09,607734.0
2017-08-10,828287.0
2017-08-11,774287.0
2017-08-12,493465.0
2017-08-13,609701.0
2017-08-14,672674.0
2017-08-15,1575815.0
2017-08-16,1514001.0
2017-08-17,1007938.0
2017-08-18,598642.0
2017-08-19,516965.0
2017-08-20,622792.0
2017-08-21,825074.0
2017-08-22,1363609.0
2017-08-23,1451838.0
2017-08-24,1431648.0
2017-08-25,1084971.0
2017-08-26,525848.0
2017-08-27,320639.0
2017-08-28,911809.0
2017-08-29,765305.0
2017-08-30,628444.0
2017-08-31,509303.0
2017-09-01,370209.0
2017-09-02,439017.0
2017-09-03,528673.0
2017-09-04,597541.0
2017-09-05,704699.0
2017-09-06,653393.0
2017-09-07,577683.0
2017-09-08,640297.0
2017-09-09,491580.0
2017-09-10,519373.0
2017-09-11,606699.0
2017-09-12,889378.0
2017-09-13,892772.0
2017-09-14,793760.0
2017-09-15,618126.0
2017-09-16,618065.0
2017-09-17,488375.0
2017-09-18,578879.0
2017-09-19,1199780.0
2017-09-20,1156548.0
2017-09-21,1141116.0
2017-09-22,756646.0
2017-09-23,454031.0
2017-09-24,564453.0
2017-09-25,723220.0
2017-09-26,963890.0
2017-09-27,1169003.0
2017-09-28,1485967.0
2017-09-29,774150.0
2017-09-30,699452.0
2017-10-01,491914.0
2017-10-02,774202.0
2017-10-03,912089.0
2017-10-04,808313.05
2017-10-05,937618.0
2017-10-06,808131.8
2017-10-07,519903.0
2017-10-08,883962.0
2017-10-09,855225.0
2017-10-10,607671.0
2017-10-11,1136039.0
2017-10-12,983477.0
2017-10-13,727504.0
2017-10-14,570821.95
2017-10-15,1017043.0
2017-10-16,907636.0
2017-10-17,2048683.0
2017-10-18,2404593.0
2017-10-19,1955934.0
2017-10-20,890040.0
2017-10-21,706370.0
2017-10-22,1326004.0
2017-10-23,1350201.0
2017-10-24,2106532.0
2017-10-25,1386719.0
2017-10-26,1968344.0
2017-10-27,1050417.0
2017-10-28,654498.0
2017-10-29,1203208.0
2017-10-30,1199144.0
2017-10-31,1344698.0
2017-11-01,273294.0
2017-11-06,6709.0
2017-11-08,8262.0
2017-11-09,360.0
2017-11-10,2106.0
2017-11-15,4075.0
2017-11-16,4313.0
2017-11-17,4713.0
2017-11-18,4519.0
2017-11-20,190.0
2017-11-21,3392.0
2017-11-22,29329.0
2017-11-23,29411.0
2017-11-24,6040.0
2017-11-25,10306.0
2017-11-26,18884.0
2017-11-28,7413.0
2017-12-01,308587.0
2018-01-07,5897.0
2018-01-08,47643.0
2018-01-09,347062.0
2018-01-10,433007.0
2018-01-11,687431.0
2018-01-12,662598.0
2018-01-13,910538.0
2018-01-14,1318895.5
2018-01-15,1433246.0
2018-01-16,1318367.0
2018-01-17,1407795.0
2018-01-18,1147991.0
2018-01-19,500193.0
2018-01-20,443129.0
2018-01-21,588205.0
2018-01-22,493148.0
2018-01-23,828027.0
2018-01-24,562642.0
2018-01-25,421960.0
2018-01-26,325363.0
2018-01-27,192068.0
2018-01-28,279839.0
2018-01-29,204536.0
2018-01-30,54886.0
2018-02-01,751190.0
2018-02-02,727732.0
2018-02-03,762555.0
2018-02-04,896277.0
2018-02-05,922577.0
2018-02-06,964147.0
2018-02-07,1033105.7
2018-02-08,1136266.0
2018-02-09,964810.0
2018-02-10,827432.0
2018-02-11,1160152.0
2018-02-12,1153984.0
2018-02-13,1781038.0
2018-02-14,1503520.0
2018-02-15,1295962.0
2018-02-16,843650.0
2018-02-17,615005.0
2018-02-18,991227.37
2018-02-19,951284.0
2018-02-20,926755.0
2018-02-21,1073174.0
2018-02-22,1003626.0
2018-02-23,1081806.0
2018-02-24,784639.0
2018-02-25,1018394.0
2018-02-26,1108824.0
2018-02-27,1209777.0
2018-02-28,1133656.0
